# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.0001        	4.842213e-01	2.526424e-01	2.315789e-01	8.834701e-02	2.386350e-01	-1.502880e-01	1.944615e-01	1.053170e-02	-2.389689e-03	-2.100471e-02	-1.289204e-02	-8.112666e-03
0.0002        	4.727917e-01	2.402491e-01	2.325426e-01	7.260524e-02	2.252220e-01	-1.526168e-01	1.889194e-01	3.853280e-03	-5.578238e-04	-1.193650e-02	-6.526076e-03	-5.410428e-03
0.0003        	4.745867e-01	2.436867e-01	2.308999e-01	7.636792e-02	2.279639e-01	-1.515959e-01	1.897799e-01	6.393400e-03	-1.115779e-03	-1.576953e-02	-9.000544e-03	-6.768986e-03
0.0004        	4.746225e-01	2.437438e-01	2.308787e-01	7.696929e-02	2.283902e-01	-1.514209e-01	1.899056e-01	6.432585e-03	-1.207200e-03	-1.582856e-02	-9.121479e-03	-6.707078e-03
0.0005        	4.748699e-01	2.438361e-01	2.310338e-01	7.761180e-02	2.289182e-01	-1.513064e-01	1.901123e-01	6.401109e-03	-1.290128e-03	-1.576652e-02	-9.173387e-03	-6.593131e-03
0.0006        	4.749383e-01	2.438668e-01	2.310715e-01	7.794078e-02	2.291565e-01	-1.512157e-01	1.901861e-01	6.397630e-03	-1.356121e-03	-1.576085e-02	-9.236547e-03	-6.524304e-03
0.0007        	4.749817e-01	2.438683e-01	2.311134e-01	7.826766e-02	2.293910e-01	-1.511233e-01	1.902571e-01	6.377415e-03	-1.411880e-03	-1.574722e-02	-9.285490e-03	-6.461731e-03
0.0008        	4.750313e-01	2.439232e-01	2.311082e-01	7.847284e-02	2.295519e-01	-1.510791e-01	1.903155e-01	6.407500e-03	-1.444822e-03	-1.581341e-02	-9.351525e-03	-6.461881e-03
0.0009        	4.751014e-01	2.439490e-01	2.311524e-01	7.868716e-02	2.297123e-01	-1.510251e-01	1.903687e-01	6.398284e-03	-1.468502e-03	-1.581567e-02	-9.376339e-03	-6.439335e-03
0.001         	4.751956e-01	2.440399e-01	2.311557e-01	7.877723e-02	2.297922e-01	-1.510150e-01	1.904036e-01	6.442108e-03	-1.481603e-03	-1.591602e-02	-9.439611e-03	-6.476406e-03
0.0011        	4.753311e-01	2.441108e-01	2.312203e-01	7.894231e-02	2.299362e-01	-1.509939e-01	1.904650e-01	6.445221e-03	-1.485559e-03	-1.594734e-02	-9.459229e-03	-6.488112e-03
0.0012        	4.754695e-01	2.442338e-01	2.312356e-01	7.893668e-02	2.299572e-01	-1.510206e-01	1.904889e-01	6.499087e-03	-1.489104e-03	-1.604464e-02	-9.511422e-03	-6.533215e-03
0.0013        	4.756263e-01	2.443035e-01	2.313228e-01	7.907667e-02	2.300850e-01	-1.510083e-01	1.905466e-01	6.490316e-03	-1.490411e-03	-1.603724e-02	-9.509032e-03	-6.528210e-03
0.0014        	4.757490e-01	2.444151e-01	2.313339e-01	7.903195e-02	2.300655e-01	-1.510336e-01	1.905496e-01	6.540577e-03	-1.499393e-03	-1.611835e-02	-9.558566e-03	-6.559780e-03
